step,train_loss,val_loss
0,3.902829647064209,3.908425807952881
100,2.510436773300171,2.5294995307922363
200,2.422697067260742,2.4394760131835938
300,2.3081254959106445,2.3157451152801514
400,2.1594040393829346,2.2017741203308105
