step,train_loss,val_loss
0,5.069931507110596,5.079401016235352
100,2.5311439037323,2.5370235443115234
200,2.442225694656372,2.4545629024505615
300,2.3417913913726807,2.3549575805664062
400,2.2124788761138916,2.2387747764587402
