step,loss
0,5.675685882568359
20,4.355921745300293
40,3.4038443565368652
60,2.7475779056549072
80,2.154860496520996
100,1.587730884552002
120,1.2313132286071777
140,1.1246174573898315
160,1.0007686614990234
180,0.8553817272186279
